site,cable_id,type,length_m,a_rack,a_device,a_termination,b_rack,b_device,b_termination,reach_check
Reference Pod 1,939,cat6a,30.0,C02,dgx-c02-04,bmc,M01,oob-01,eth8,
Reference Pod 1,332,mmf-om4,25.0,C02,dgx-c02-04,ib-rail0,N01,leaf-01,port8,ok
Reference Pod 1,333,mmf-om4,25.0,C02,dgx-c02-04,ib-rail1,N01,leaf-02,port8,ok
Reference Pod 1,334,mmf-om4,25.0,C02,dgx-c02-04,ib-rail2,N01,leaf-03,port8,ok
Reference Pod 1,335,mmf-om4,25.0,C02,dgx-c02-04,ib-rail3,N01,leaf-04,port8,ok
Reference Pod 1,336,mmf-om4,25.0,C02,dgx-c02-04,ib-rail4,N02,leaf-05,port8,ok
Reference Pod 1,337,mmf-om4,25.0,C02,dgx-c02-04,ib-rail5,N02,leaf-06,port8,ok
Reference Pod 1,338,mmf-om4,25.0,C02,dgx-c02-04,ib-rail6,N02,leaf-07,port8,ok
Reference Pod 1,339,mmf-om4,25.0,C02,dgx-c02-04,ib-rail7,N02,leaf-08,port8,ok
Reference Pod 1,802,mmf-om4,20.0,C02,dgx-c02-04,ib-storage0,S01,stor-fabric-01,port8,ok
Reference Pod 1,803,mmf-om4,20.0,C02,dgx-c02-04,ib-storage1,S01,stor-fabric-02,port8,ok
Reference Pod 1,874,mmf-om4,20.0,C02,dgx-c02-04,inband0,M01,inband-01,eth8,ok
Reference Pod 1,875,mmf-om4,20.0,C02,dgx-c02-04,inband1,M01,inband-02,eth8,ok
Reference Pod 1,34,power,,C02,pdu-c02-a,outlet1,C02,dgx-c02-01,psu1,
Reference Pod 1,35,power,,C02,pdu-c02-a,outlet2,C02,dgx-c02-01,psu2,
Reference Pod 1,40,power,,C02,pdu-c02-a,outlet3,C02,dgx-c02-02,psu1,
Reference Pod 1,41,power,,C02,pdu-c02-a,outlet4,C02,dgx-c02-02,psu2,
Reference Pod 1,46,power,,C02,pdu-c02-a,outlet5,C02,dgx-c02-03,psu1,
Reference Pod 1,47,power,,C02,pdu-c02-a,outlet6,C02,dgx-c02-03,psu2,
Reference Pod 1,52,power,,C02,pdu-c02-a,outlet7,C02,dgx-c02-04,psu1,
Reference Pod 1,53,power,,C02,pdu-c02-a,outlet8,C02,dgx-c02-04,psu2,
Reference Pod 1,36,power,,C02,pdu-c02-b,outlet1,C02,dgx-c02-01,psu3,
Reference Pod 1,37,power,,C02,pdu-c02-b,outlet2,C02,dgx-c02-01,psu4,
Reference Pod 1,42,power,,C02,pdu-c02-b,outlet3,C02,dgx-c02-02,psu3,
Reference Pod 1,43,power,,C02,pdu-c02-b,outlet4,C02,dgx-c02-02,psu4,
Reference Pod 1,48,power,,C02,pdu-c02-b,outlet5,C02,dgx-c02-03,psu3,
Reference Pod 1,49,power,,C02,pdu-c02-b,outlet6,C02,dgx-c02-03,psu4,
Reference Pod 1,54,power,,C02,pdu-c02-b,outlet7,C02,dgx-c02-04,psu3,
Reference Pod 1,55,power,,C02,pdu-c02-b,outlet8,C02,dgx-c02-04,psu4,
Reference Pod 1,38,power,,C02,pdu-c02-c,outlet1,C02,dgx-c02-01,psu5,
Reference Pod 1,39,power,,C02,pdu-c02-c,outlet2,C02,dgx-c02-01,psu6,
Reference Pod 1,44,power,,C02,pdu-c02-c,outlet3,C02,dgx-c02-02,psu5,
Reference Pod 1,45,power,,C02,pdu-c02-c,outlet4,C02,dgx-c02-02,psu6,
Reference Pod 1,50,power,,C02,pdu-c02-c,outlet5,C02,dgx-c02-03,psu5,
Reference Pod 1,51,power,,C02,pdu-c02-c,outlet6,C02,dgx-c02-03,psu6,
Reference Pod 1,56,power,,C02,pdu-c02-c,outlet7,C02,dgx-c02-04,psu5,
Reference Pod 1,57,power,,C02,pdu-c02-c,outlet8,C02,dgx-c02-04,psu6,
Reference Pod 1,58,power,,C03,(power feed),C03-A,C03,pdu-c03-a,input,
Reference Pod 1,59,power,,C03,(power feed),C03-B,C03,pdu-c03-b,input,
Reference Pod 1,60,power,,C03,(power feed),C03-C,C03,pdu-c03-c,input,
Reference Pod 1,940,cat6a,30.0,C03,dgx-c03-01,bmc,M01,oob-01,eth9,
Reference Pod 1,340,mmf-om4,25.0,C03,dgx-c03-01,ib-rail0,N01,leaf-01,port9,ok
Reference Pod 1,341,mmf-om4,25.0,C03,dgx-c03-01,ib-rail1,N01,leaf-02,port9,ok
Reference Pod 1,342,mmf-om4,25.0,C03,dgx-c03-01,ib-rail2,N01,leaf-03,port9,ok
Reference Pod 1,343,mmf-om4,25.0,C03,dgx-c03-01,ib-rail3,N01,leaf-04,port9,ok
Reference Pod 1,344,mmf-om4,25.0,C03,dgx-c03-01,ib-rail4,N02,leaf-05,port9,ok
Reference Pod 1,345,mmf-om4,25.0,C03,dgx-c03-01,ib-rail5,N02,leaf-06,port9,ok
Reference Pod 1,346,mmf-om4,25.0,C03,dgx-c03-01,ib-rail6,N02,leaf-07,port9,ok
Reference Pod 1,347,mmf-om4,25.0,C03,dgx-c03-01,ib-rail7,N02,leaf-08,port9,ok
Reference Pod 1,804,mmf-om4,20.0,C03,dgx-c03-01,ib-storage0,S01,stor-fabric-01,port9,ok
Reference Pod 1,805,mmf-om4,20.0,C03,dgx-c03-01,ib-storage1,S01,stor-fabric-02,port9,ok
Reference Pod 1,876,mmf-om4,20.0,C03,dgx-c03-01,inband0,M01,inband-01,eth9,ok
Reference Pod 1,877,mmf-om4,20.0,C03,dgx-c03-01,inband1,M01,inband-02,eth9,ok
Reference Pod 1,941,cat6a,30.0,C03,dgx-c03-02,bmc,M01,oob-01,eth10,
Reference Pod 1,348,mmf-om4,25.0,C03,dgx-c03-02,ib-rail0,N01,leaf-01,port10,ok
Reference Pod 1,349,mmf-om4,25.0,C03,dgx-c03-02,ib-rail1,N01,leaf-02,port10,ok
Reference Pod 1,350,mmf-om4,25.0,C03,dgx-c03-02,ib-rail2,N01,leaf-03,port10,ok
Reference Pod 1,351,mmf-om4,25.0,C03,dgx-c03-02,ib-rail3,N01,leaf-04,port10,ok
Reference Pod 1,352,mmf-om4,25.0,C03,dgx-c03-02,ib-rail4,N02,leaf-05,port10,ok
Reference Pod 1,353,mmf-om4,25.0,C03,dgx-c03-02,ib-rail5,N02,leaf-06,port10,ok
Reference Pod 1,354,mmf-om4,25.0,C03,dgx-c03-02,ib-rail6,N02,leaf-07,port10,ok
Reference Pod 1,355,mmf-om4,25.0,C03,dgx-c03-02,ib-rail7,N02,leaf-08,port10,ok
Reference Pod 1,806,mmf-om4,20.0,C03,dgx-c03-02,ib-storage0,S01,stor-fabric-01,port10,ok
Reference Pod 1,807,mmf-om4,20.0,C03,dgx-c03-02,ib-storage1,S01,stor-fabric-02,port10,ok
Reference Pod 1,878,mmf-om4,20.0,C03,dgx-c03-02,inband0,M01,inband-01,eth10,ok
Reference Pod 1,879,mmf-om4,20.0,C03,dgx-c03-02,inband1,M01,inband-02,eth10,ok
Reference Pod 1,942,cat6a,30.0,C03,dgx-c03-03,bmc,M01,oob-01,eth11,
Reference Pod 1,356,mmf-om4,25.0,C03,dgx-c03-03,ib-rail0,N01,leaf-01,port11,ok
Reference Pod 1,357,mmf-om4,25.0,C03,dgx-c03-03,ib-rail1,N01,leaf-02,port11,ok
Reference Pod 1,358,mmf-om4,25.0,C03,dgx-c03-03,ib-rail2,N01,leaf-03,port11,ok
Reference Pod 1,359,mmf-om4,25.0,C03,dgx-c03-03,ib-rail3,N01,leaf-04,port11,ok
Reference Pod 1,360,mmf-om4,25.0,C03,dgx-c03-03,ib-rail4,N02,leaf-05,port11,ok
Reference Pod 1,361,mmf-om4,25.0,C03,dgx-c03-03,ib-rail5,N02,leaf-06,port11,ok
Reference Pod 1,362,mmf-om4,25.0,C03,dgx-c03-03,ib-rail6,N02,leaf-07,port11,ok
Reference Pod 1,363,mmf-om4,25.0,C03,dgx-c03-03,ib-rail7,N02,leaf-08,port11,ok
Reference Pod 1,808,mmf-om4,20.0,C03,dgx-c03-03,ib-storage0,S01,stor-fabric-01,port11,ok
Reference Pod 1,809,mmf-om4,20.0,C03,dgx-c03-03,ib-storage1,S01,stor-fabric-02,port11,ok
Reference Pod 1,880,mmf-om4,20.0,C03,dgx-c03-03,inband0,M01,inband-01,eth11,ok
Reference Pod 1,881,mmf-om4,20.0,C03,dgx-c03-03,inband1,M01,inband-02,eth11,ok
Reference Pod 1,943,cat6a,30.0,C03,dgx-c03-04,bmc,M01,oob-01,eth12,
Reference Pod 1,364,mmf-om4,25.0,C03,dgx-c03-04,ib-rail0,N01,leaf-01,port12,ok
Reference Pod 1,365,mmf-om4,25.0,C03,dgx-c03-04,ib-rail1,N01,leaf-02,port12,ok
Reference Pod 1,366,mmf-om4,25.0,C03,dgx-c03-04,ib-rail2,N01,leaf-03,port12,ok
Reference Pod 1,367,mmf-om4,25.0,C03,dgx-c03-04,ib-rail3,N01,leaf-04,port12,ok
Reference Pod 1,368,mmf-om4,25.0,C03,dgx-c03-04,ib-rail4,N02,leaf-05,port12,ok
Reference Pod 1,369,mmf-om4,25.0,C03,dgx-c03-04,ib-rail5,N02,leaf-06,port12,ok
Reference Pod 1,370,mmf-om4,25.0,C03,dgx-c03-04,ib-rail6,N02,leaf-07,port12,ok
Reference Pod 1,371,mmf-om4,25.0,C03,dgx-c03-04,ib-rail7,N02,leaf-08,port12,ok
Reference Pod 1,810,mmf-om4,20.0,C03,dgx-c03-04,ib-storage0,S01,stor-fabric-01,port12,ok
Reference Pod 1,811,mmf-om4,20.0,C03,dgx-c03-04,ib-storage1,S01,stor-fabric-02,port12,ok
Reference Pod 1,882,mmf-om4,20.0,C03,dgx-c03-04,inband0,M01,inband-01,eth12,ok
Reference Pod 1,883,mmf-om4,20.0,C03,dgx-c03-04,inband1,M01,inband-02,eth12,ok
Reference Pod 1,61,power,,C03,pdu-c03-a,outlet1,C03,dgx-c03-01,psu1,
Reference Pod 1,62,power,,C03,pdu-c03-a,outlet2,C03,dgx-c03-01,psu2,
Reference Pod 1,67,power,,C03,pdu-c03-a,outlet3,C03,dgx-c03-02,psu1,
Reference Pod 1,68,power,,C03,pdu-c03-a,outlet4,C03,dgx-c03-02,psu2,
Reference Pod 1,73,power,,C03,pdu-c03-a,outlet5,C03,dgx-c03-03,psu1,
Reference Pod 1,74,power,,C03,pdu-c03-a,outlet6,C03,dgx-c03-03,psu2,
Reference Pod 1,79,power,,C03,pdu-c03-a,outlet7,C03,dgx-c03-04,psu1,
Reference Pod 1,80,power,,C03,pdu-c03-a,outlet8,C03,dgx-c03-04,psu2,
Reference Pod 1,63,power,,C03,pdu-c03-b,outlet1,C03,dgx-c03-01,psu3,
Reference Pod 1,64,power,,C03,pdu-c03-b,outlet2,C03,dgx-c03-01,psu4,
Reference Pod 1,69,power,,C03,pdu-c03-b,outlet3,C03,dgx-c03-02,psu3,
Reference Pod 1,70,power,,C03,pdu-c03-b,outlet4,C03,dgx-c03-02,psu4,
Reference Pod 1,75,power,,C03,pdu-c03-b,outlet5,C03,dgx-c03-03,psu3,
Reference Pod 1,76,power,,C03,pdu-c03-b,outlet6,C03,dgx-c03-03,psu4,
Reference Pod 1,81,power,,C03,pdu-c03-b,outlet7,C03,dgx-c03-04,psu3,
Reference Pod 1,82,power,,C03,pdu-c03-b,outlet8,C03,dgx-c03-04,psu4,
Reference Pod 1,65,power,,C03,pdu-c03-c,outlet1,C03,dgx-c03-01,psu5,
Reference Pod 1,66,power,,C03,pdu-c03-c,outlet2,C03,dgx-c03-01,psu6,
Reference Pod 1,71,power,,C03,pdu-c03-c,outlet3,C03,dgx-c03-02,psu5,
Reference Pod 1,72,power,,C03,pdu-c03-c,outlet4,C03,dgx-c03-02,psu6,
Reference Pod 1,77,power,,C03,pdu-c03-c,outlet5,C03,dgx-c03-03,psu5,
Reference Pod 1,78,power,,C03,pdu-c03-c,outlet6,C03,dgx-c03-03,psu6,
Reference Pod 1,83,power,,C03,pdu-c03-c,outlet7,C03,dgx-c03-04,psu5,
Reference Pod 1,84,power,,C03,pdu-c03-c,outlet8,C03,dgx-c03-04,psu6,
Reference Pod 1,85,power,,C04,(power feed),C04-A,C04,pdu-c04-a,input,
Reference Pod 1,86,power,,C04,(power feed),C04-B,C04,pdu-c04-b,input,
Reference Pod 1,87,power,,C04,(power feed),C04-C,C04,pdu-c04-c,input,
Reference Pod 1,944,cat6a,30.0,C04,dgx-c04-01,bmc,M01,oob-01,eth13,
Reference Pod 1,372,mmf-om4,25.0,C04,dgx-c04-01,ib-rail0,N01,leaf-01,port13,ok
Reference Pod 1,373,mmf-om4,25.0,C04,dgx-c04-01,ib-rail1,N01,leaf-02,port13,ok
Reference Pod 1,374,mmf-om4,25.0,C04,dgx-c04-01,ib-rail2,N01,leaf-03,port13,ok
Reference Pod 1,375,mmf-om4,25.0,C04,dgx-c04-01,ib-rail3,N01,leaf-04,port13,ok
Reference Pod 1,376,mmf-om4,25.0,C04,dgx-c04-01,ib-rail4,N02,leaf-05,port13,ok
Reference Pod 1,377,mmf-om4,25.0,C04,dgx-c04-01,ib-rail5,N02,leaf-06,port13,ok
Reference Pod 1,378,mmf-om4,25.0,C04,dgx-c04-01,ib-rail6,N02,leaf-07,port13,ok
Reference Pod 1,379,mmf-om4,25.0,C04,dgx-c04-01,ib-rail7,N02,leaf-08,port13,ok
Reference Pod 1,812,mmf-om4,20.0,C04,dgx-c04-01,ib-storage0,S01,stor-fabric-01,port13,ok
Reference Pod 1,813,mmf-om4,20.0,C04,dgx-c04-01,ib-storage1,S01,stor-fabric-02,port13,ok
Reference Pod 1,884,mmf-om4,20.0,C04,dgx-c04-01,inband0,M01,inband-01,eth13,ok
Reference Pod 1,885,mmf-om4,20.0,C04,dgx-c04-01,inband1,M01,inband-02,eth13,ok
Reference Pod 1,945,cat6a,30.0,C04,dgx-c04-02,bmc,M01,oob-01,eth14,
Reference Pod 1,380,mmf-om4,25.0,C04,dgx-c04-02,ib-rail0,N01,leaf-01,port14,ok
Reference Pod 1,381,mmf-om4,25.0,C04,dgx-c04-02,ib-rail1,N01,leaf-02,port14,ok
Reference Pod 1,382,mmf-om4,25.0,C04,dgx-c04-02,ib-rail2,N01,leaf-03,port14,ok
Reference Pod 1,383,mmf-om4,25.0,C04,dgx-c04-02,ib-rail3,N01,leaf-04,port14,ok
Reference Pod 1,384,mmf-om4,25.0,C04,dgx-c04-02,ib-rail4,N02,leaf-05,port14,ok
Reference Pod 1,385,mmf-om4,25.0,C04,dgx-c04-02,ib-rail5,N02,leaf-06,port14,ok
Reference Pod 1,386,mmf-om4,25.0,C04,dgx-c04-02,ib-rail6,N02,leaf-07,port14,ok
Reference Pod 1,387,mmf-om4,25.0,C04,dgx-c04-02,ib-rail7,N02,leaf-08,port14,ok
Reference Pod 1,814,mmf-om4,20.0,C04,dgx-c04-02,ib-storage0,S01,stor-fabric-01,port14,ok
