site,cable_id,type,length_m,a_rack,a_device,a_termination,b_rack,b_device,b_termination,reach_check
Reference Pod 2,1351,power,,G02,busbar-g02,tray25,G02,ct-g02-07,dc-in,
Reference Pod 2,1359,power,,G02,busbar-g02,tray26,G02,ct-g02-15,dc-in,
Reference Pod 2,1367,power,,G02,busbar-g02,tray27,G02,nvs-g02-05,dc-in,
Reference Pod 2,1352,power,,G02,busbar-g02,tray29,G02,ct-g02-08,dc-in,
Reference Pod 2,1361,power,,G02,busbar-g02,tray3,G02,ct-g02-17,dc-in,
Reference Pod 2,1360,power,,G02,busbar-g02,tray30,G02,ct-g02-16,dc-in,
Reference Pod 2,1368,power,,G02,busbar-g02,tray31,G02,nvs-g02-06,dc-in,
Reference Pod 2,1346,power,,G02,busbar-g02,tray5,G02,ct-g02-02,dc-in,
Reference Pod 2,1354,power,,G02,busbar-g02,tray6,G02,ct-g02-10,dc-in,
Reference Pod 2,1362,power,,G02,busbar-g02,tray7,G02,ct-g02-18,dc-in,
Reference Pod 2,1347,power,,G02,busbar-g02,tray9,G02,ct-g02-03,dc-in,
Reference Pod 2,1025,power,,G02,psh-g02-1,dc-out,G02,busbar-g02,shelf1,
Reference Pod 2,1026,power,,G02,psh-g02-2,dc-out,G02,busbar-g02,shelf2,
Reference Pod 2,1027,power,,G02,psh-g02-3,dc-out,G02,busbar-g02,shelf3,
Reference Pod 2,1028,power,,G02,psh-g02-4,dc-out,G02,busbar-g02,shelf4,
Reference Pod 2,1029,power,,G02,psh-g02-5,dc-out,G02,busbar-g02,shelf5,
Reference Pod 2,1030,power,,G02,psh-g02-6,dc-out,G02,busbar-g02,shelf6,
Reference Pod 2,1031,power,,G02,psh-g02-7,dc-out,G02,busbar-g02,shelf7,
Reference Pod 2,1032,power,,G02,psh-g02-8,dc-out,G02,busbar-g02,shelf8,
Reference Pod 2,1060,power,,G03,(power feed),G03-1,G03,psh-g03-1,input,
Reference Pod 2,1061,power,,G03,(power feed),G03-2,G03,psh-g03-2,input,
Reference Pod 2,1062,power,,G03,(power feed),G03-3,G03,psh-g03-3,input,
Reference Pod 2,1063,power,,G03,(power feed),G03-4,G03,psh-g03-4,input,
Reference Pod 2,1064,power,,G03,(power feed),G03-5,G03,psh-g03-5,input,
Reference Pod 2,1065,power,,G03,(power feed),G03-6,G03,psh-g03-6,input,
Reference Pod 2,1066,power,,G03,(power feed),G03-7,G03,psh-g03-7,input,
Reference Pod 2,1067,power,,G03,(power feed),G03-8,G03,psh-g03-8,input,
Reference Pod 2,1372,power,,G03,busbar-g03,tray1,G03,ct-g03-01,dc-in,
Reference Pod 2,1382,power,,G03,busbar-g03,tray10,G03,ct-g03-11,dc-in,
Reference Pod 2,1390,power,,G03,busbar-g03,tray11,G03,nvs-g03-01,dc-in,
Reference Pod 2,1396,power,,G03,busbar-g03,tray12,G03,nvs-g03-07,dc-in,
Reference Pod 2,1375,power,,G03,busbar-g03,tray13,G03,ct-g03-04,dc-in,
Reference Pod 2,1383,power,,G03,busbar-g03,tray14,G03,ct-g03-12,dc-in,
Reference Pod 2,1391,power,,G03,busbar-g03,tray15,G03,nvs-g03-02,dc-in,
Reference Pod 2,1397,power,,G03,busbar-g03,tray16,G03,nvs-g03-08,dc-in,
Reference Pod 2,1376,power,,G03,busbar-g03,tray17,G03,ct-g03-05,dc-in,
Reference Pod 2,1384,power,,G03,busbar-g03,tray18,G03,ct-g03-13,dc-in,
Reference Pod 2,1392,power,,G03,busbar-g03,tray19,G03,nvs-g03-03,dc-in,
Reference Pod 2,1380,power,,G03,busbar-g03,tray2,G03,ct-g03-09,dc-in,
Reference Pod 2,1398,power,,G03,busbar-g03,tray20,G03,nvs-g03-09,dc-in,
Reference Pod 2,1377,power,,G03,busbar-g03,tray21,G03,ct-g03-06,dc-in,
Reference Pod 2,1385,power,,G03,busbar-g03,tray22,G03,ct-g03-14,dc-in,
Reference Pod 2,1393,power,,G03,busbar-g03,tray23,G03,nvs-g03-04,dc-in,
Reference Pod 2,1378,power,,G03,busbar-g03,tray25,G03,ct-g03-07,dc-in,
Reference Pod 2,1386,power,,G03,busbar-g03,tray26,G03,ct-g03-15,dc-in,
Reference Pod 2,1394,power,,G03,busbar-g03,tray27,G03,nvs-g03-05,dc-in,
Reference Pod 2,1379,power,,G03,busbar-g03,tray29,G03,ct-g03-08,dc-in,
Reference Pod 2,1388,power,,G03,busbar-g03,tray3,G03,ct-g03-17,dc-in,
Reference Pod 2,1387,power,,G03,busbar-g03,tray30,G03,ct-g03-16,dc-in,
Reference Pod 2,1395,power,,G03,busbar-g03,tray31,G03,nvs-g03-06,dc-in,
Reference Pod 2,1373,power,,G03,busbar-g03,tray5,G03,ct-g03-02,dc-in,
Reference Pod 2,1381,power,,G03,busbar-g03,tray6,G03,ct-g03-10,dc-in,
Reference Pod 2,1389,power,,G03,busbar-g03,tray7,G03,ct-g03-18,dc-in,
Reference Pod 2,1374,power,,G03,busbar-g03,tray9,G03,ct-g03-03,dc-in,
Reference Pod 2,1068,power,,G03,psh-g03-1,dc-out,G03,busbar-g03,shelf1,
Reference Pod 2,1069,power,,G03,psh-g03-2,dc-out,G03,busbar-g03,shelf2,
Reference Pod 2,1070,power,,G03,psh-g03-3,dc-out,G03,busbar-g03,shelf3,
Reference Pod 2,1071,power,,G03,psh-g03-4,dc-out,G03,busbar-g03,shelf4,
Reference Pod 2,1072,power,,G03,psh-g03-5,dc-out,G03,busbar-g03,shelf5,
Reference Pod 2,1073,power,,G03,psh-g03-6,dc-out,G03,busbar-g03,shelf6,
Reference Pod 2,1074,power,,G03,psh-g03-7,dc-out,G03,busbar-g03,shelf7,
Reference Pod 2,1075,power,,G03,psh-g03-8,dc-out,G03,busbar-g03,shelf8,
Reference Pod 2,1103,power,,G04,(power feed),G04-1,G04,psh-g04-1,input,
Reference Pod 2,1104,power,,G04,(power feed),G04-2,G04,psh-g04-2,input,
Reference Pod 2,1105,power,,G04,(power feed),G04-3,G04,psh-g04-3,input,
Reference Pod 2,1106,power,,G04,(power feed),G04-4,G04,psh-g04-4,input,
Reference Pod 2,1107,power,,G04,(power feed),G04-5,G04,psh-g04-5,input,
Reference Pod 2,1108,power,,G04,(power feed),G04-6,G04,psh-g04-6,input,
Reference Pod 2,1109,power,,G04,(power feed),G04-7,G04,psh-g04-7,input,
Reference Pod 2,1110,power,,G04,(power feed),G04-8,G04,psh-g04-8,input,
Reference Pod 2,1399,power,,G04,busbar-g04,tray1,G04,ct-g04-01,dc-in,
Reference Pod 2,1409,power,,G04,busbar-g04,tray10,G04,ct-g04-11,dc-in,
Reference Pod 2,1417,power,,G04,busbar-g04,tray11,G04,nvs-g04-01,dc-in,
Reference Pod 2,1423,power,,G04,busbar-g04,tray12,G04,nvs-g04-07,dc-in,
Reference Pod 2,1402,power,,G04,busbar-g04,tray13,G04,ct-g04-04,dc-in,
Reference Pod 2,1410,power,,G04,busbar-g04,tray14,G04,ct-g04-12,dc-in,
Reference Pod 2,1418,power,,G04,busbar-g04,tray15,G04,nvs-g04-02,dc-in,
Reference Pod 2,1424,power,,G04,busbar-g04,tray16,G04,nvs-g04-08,dc-in,
Reference Pod 2,1403,power,,G04,busbar-g04,tray17,G04,ct-g04-05,dc-in,
Reference Pod 2,1411,power,,G04,busbar-g04,tray18,G04,ct-g04-13,dc-in,
Reference Pod 2,1419,power,,G04,busbar-g04,tray19,G04,nvs-g04-03,dc-in,
Reference Pod 2,1407,power,,G04,busbar-g04,tray2,G04,ct-g04-09,dc-in,
Reference Pod 2,1425,power,,G04,busbar-g04,tray20,G04,nvs-g04-09,dc-in,
Reference Pod 2,1404,power,,G04,busbar-g04,tray21,G04,ct-g04-06,dc-in,
Reference Pod 2,1412,power,,G04,busbar-g04,tray22,G04,ct-g04-14,dc-in,
Reference Pod 2,1420,power,,G04,busbar-g04,tray23,G04,nvs-g04-04,dc-in,
Reference Pod 2,1405,power,,G04,busbar-g04,tray25,G04,ct-g04-07,dc-in,
Reference Pod 2,1413,power,,G04,busbar-g04,tray26,G04,ct-g04-15,dc-in,
Reference Pod 2,1421,power,,G04,busbar-g04,tray27,G04,nvs-g04-05,dc-in,
Reference Pod 2,1406,power,,G04,busbar-g04,tray29,G04,ct-g04-08,dc-in,
Reference Pod 2,1415,power,,G04,busbar-g04,tray3,G04,ct-g04-17,dc-in,
Reference Pod 2,1414,power,,G04,busbar-g04,tray30,G04,ct-g04-16,dc-in,
Reference Pod 2,1422,power,,G04,busbar-g04,tray31,G04,nvs-g04-06,dc-in,
Reference Pod 2,1400,power,,G04,busbar-g04,tray5,G04,ct-g04-02,dc-in,
Reference Pod 2,1408,power,,G04,busbar-g04,tray6,G04,ct-g04-10,dc-in,
Reference Pod 2,1416,power,,G04,busbar-g04,tray7,G04,ct-g04-18,dc-in,
Reference Pod 2,1401,power,,G04,busbar-g04,tray9,G04,ct-g04-03,dc-in,
Reference Pod 2,1111,power,,G04,psh-g04-1,dc-out,G04,busbar-g04,shelf1,
Reference Pod 2,1112,power,,G04,psh-g04-2,dc-out,G04,busbar-g04,shelf2,
Reference Pod 2,1113,power,,G04,psh-g04-3,dc-out,G04,busbar-g04,shelf3,
Reference Pod 2,1114,power,,G04,psh-g04-4,dc-out,G04,busbar-g04,shelf4,
Reference Pod 2,1115,power,,G04,psh-g04-5,dc-out,G04,busbar-g04,shelf5,
Reference Pod 2,1116,power,,G04,psh-g04-6,dc-out,G04,busbar-g04,shelf6,
Reference Pod 2,1117,power,,G04,psh-g04-7,dc-out,G04,busbar-g04,shelf7,
Reference Pod 2,1118,power,,G04,psh-g04-8,dc-out,G04,busbar-g04,shelf8,
Reference Pod 2,1146,power,,G05,(power feed),G05-1,G05,psh-g05-1,input,
Reference Pod 2,1147,power,,G05,(power feed),G05-2,G05,psh-g05-2,input,
Reference Pod 2,1148,power,,G05,(power feed),G05-3,G05,psh-g05-3,input,
Reference Pod 2,1149,power,,G05,(power feed),G05-4,G05,psh-g05-4,input,
Reference Pod 2,1150,power,,G05,(power feed),G05-5,G05,psh-g05-5,input,
Reference Pod 2,1151,power,,G05,(power feed),G05-6,G05,psh-g05-6,input,
Reference Pod 2,1152,power,,G05,(power feed),G05-7,G05,psh-g05-7,input,
Reference Pod 2,1153,power,,G05,(power feed),G05-8,G05,psh-g05-8,input,
Reference Pod 2,1426,power,,G05,busbar-g05,tray1,G05,ct-g05-01,dc-in,
Reference Pod 2,1436,power,,G05,busbar-g05,tray10,G05,ct-g05-11,dc-in,
Reference Pod 2,1444,power,,G05,busbar-g05,tray11,G05,nvs-g05-01,dc-in,
Reference Pod 2,1450,power,,G05,busbar-g05,tray12,G05,nvs-g05-07,dc-in,
Reference Pod 2,1429,power,,G05,busbar-g05,tray13,G05,ct-g05-04,dc-in,
Reference Pod 2,1437,power,,G05,busbar-g05,tray14,G05,ct-g05-12,dc-in,
Reference Pod 2,1445,power,,G05,busbar-g05,tray15,G05,nvs-g05-02,dc-in,
Reference Pod 2,1451,power,,G05,busbar-g05,tray16,G05,nvs-g05-08,dc-in,
Reference Pod 2,1430,power,,G05,busbar-g05,tray17,G05,ct-g05-05,dc-in,
Reference Pod 2,1438,power,,G05,busbar-g05,tray18,G05,ct-g05-13,dc-in,
Reference Pod 2,1446,power,,G05,busbar-g05,tray19,G05,nvs-g05-03,dc-in,
Reference Pod 2,1434,power,,G05,busbar-g05,tray2,G05,ct-g05-09,dc-in,
Reference Pod 2,1452,power,,G05,busbar-g05,tray20,G05,nvs-g05-09,dc-in,
Reference Pod 2,1431,power,,G05,busbar-g05,tray21,G05,ct-g05-06,dc-in,
Reference Pod 2,1439,power,,G05,busbar-g05,tray22,G05,ct-g05-14,dc-in,
Reference Pod 2,1447,power,,G05,busbar-g05,tray23,G05,nvs-g05-04,dc-in,
Reference Pod 2,1432,power,,G05,busbar-g05,tray25,G05,ct-g05-07,dc-in,
Reference Pod 2,1440,power,,G05,busbar-g05,tray26,G05,ct-g05-15,dc-in,
Reference Pod 2,1448,power,,G05,busbar-g05,tray27,G05,nvs-g05-05,dc-in,
Reference Pod 2,1433,power,,G05,busbar-g05,tray29,G05,ct-g05-08,dc-in,
Reference Pod 2,1442,power,,G05,busbar-g05,tray3,G05,ct-g05-17,dc-in,
Reference Pod 2,1441,power,,G05,busbar-g05,tray30,G05,ct-g05-16,dc-in,
Reference Pod 2,1449,power,,G05,busbar-g05,tray31,G05,nvs-g05-06,dc-in,
Reference Pod 2,1427,power,,G05,busbar-g05,tray5,G05,ct-g05-02,dc-in,
Reference Pod 2,1435,power,,G05,busbar-g05,tray6,G05,ct-g05-10,dc-in,
Reference Pod 2,1443,power,,G05,busbar-g05,tray7,G05,ct-g05-18,dc-in,
Reference Pod 2,1428,power,,G05,busbar-g05,tray9,G05,ct-g05-03,dc-in,
Reference Pod 2,1154,power,,G05,psh-g05-1,dc-out,G05,busbar-g05,shelf1,
Reference Pod 2,1155,power,,G05,psh-g05-2,dc-out,G05,busbar-g05,shelf2,
Reference Pod 2,1156,power,,G05,psh-g05-3,dc-out,G05,busbar-g05,shelf3,
Reference Pod 2,1157,power,,G05,psh-g05-4,dc-out,G05,busbar-g05,shelf4,
Reference Pod 2,1158,power,,G05,psh-g05-5,dc-out,G05,busbar-g05,shelf5,
Reference Pod 2,1159,power,,G05,psh-g05-6,dc-out,G05,busbar-g05,shelf6,
Reference Pod 2,1160,power,,G05,psh-g05-7,dc-out,G05,busbar-g05,shelf7,
Reference Pod 2,1161,power,,G05,psh-g05-8,dc-out,G05,busbar-g05,shelf8,
Reference Pod 2,1189,power,,G06,(power feed),G06-1,G06,psh-g06-1,input,
Reference Pod 2,1190,power,,G06,(power feed),G06-2,G06,psh-g06-2,input,
Reference Pod 2,1191,power,,G06,(power feed),G06-3,G06,psh-g06-3,input,
Reference Pod 2,1192,power,,G06,(power feed),G06-4,G06,psh-g06-4,input,
Reference Pod 2,1193,power,,G06,(power feed),G06-5,G06,psh-g06-5,input,
Reference Pod 2,1194,power,,G06,(power feed),G06-6,G06,psh-g06-6,input,
Reference Pod 2,1195,power,,G06,(power feed),G06-7,G06,psh-g06-7,input,
Reference Pod 2,1196,power,,G06,(power feed),G06-8,G06,psh-g06-8,input,
Reference Pod 2,1453,power,,G06,busbar-g06,tray1,G06,ct-g06-01,dc-in,
Reference Pod 2,1463,power,,G06,busbar-g06,tray10,G06,ct-g06-11,dc-in,
Reference Pod 2,1471,power,,G06,busbar-g06,tray11,G06,nvs-g06-01,dc-in,
Reference Pod 2,1477,power,,G06,busbar-g06,tray12,G06,nvs-g06-07,dc-in,
Reference Pod 2,1456,power,,G06,busbar-g06,tray13,G06,ct-g06-04,dc-in,
Reference Pod 2,1464,power,,G06,busbar-g06,tray14,G06,ct-g06-12,dc-in,
Reference Pod 2,1472,power,,G06,busbar-g06,tray15,G06,nvs-g06-02,dc-in,
Reference Pod 2,1478,power,,G06,busbar-g06,tray16,G06,nvs-g06-08,dc-in,
Reference Pod 2,1457,power,,G06,busbar-g06,tray17,G06,ct-g06-05,dc-in,
Reference Pod 2,1465,power,,G06,busbar-g06,tray18,G06,ct-g06-13,dc-in,
Reference Pod 2,1473,power,,G06,busbar-g06,tray19,G06,nvs-g06-03,dc-in,
Reference Pod 2,1461,power,,G06,busbar-g06,tray2,G06,ct-g06-09,dc-in,
Reference Pod 2,1479,power,,G06,busbar-g06,tray20,G06,nvs-g06-09,dc-in,
Reference Pod 2,1458,power,,G06,busbar-g06,tray21,G06,ct-g06-06,dc-in,
Reference Pod 2,1466,power,,G06,busbar-g06,tray22,G06,ct-g06-14,dc-in,
Reference Pod 2,1474,power,,G06,busbar-g06,tray23,G06,nvs-g06-04,dc-in,
Reference Pod 2,1459,power,,G06,busbar-g06,tray25,G06,ct-g06-07,dc-in,
Reference Pod 2,1467,power,,G06,busbar-g06,tray26,G06,ct-g06-15,dc-in,
Reference Pod 2,1475,power,,G06,busbar-g06,tray27,G06,nvs-g06-05,dc-in,
Reference Pod 2,1460,power,,G06,busbar-g06,tray29,G06,ct-g06-08,dc-in,
Reference Pod 2,1469,power,,G06,busbar-g06,tray3,G06,ct-g06-17,dc-in,
Reference Pod 2,1468,power,,G06,busbar-g06,tray30,G06,ct-g06-16,dc-in,
Reference Pod 2,1476,power,,G06,busbar-g06,tray31,G06,nvs-g06-06,dc-in,
Reference Pod 2,1454,power,,G06,busbar-g06,tray5,G06,ct-g06-02,dc-in,
Reference Pod 2,1462,power,,G06,busbar-g06,tray6,G06,ct-g06-10,dc-in,
Reference Pod 2,1470,power,,G06,busbar-g06,tray7,G06,ct-g06-18,dc-in,
Reference Pod 2,1455,power,,G06,busbar-g06,tray9,G06,ct-g06-03,dc-in,
Reference Pod 2,1197,power,,G06,psh-g06-1,dc-out,G06,busbar-g06,shelf1,
Reference Pod 2,1198,power,,G06,psh-g06-2,dc-out,G06,busbar-g06,shelf2,
Reference Pod 2,1199,power,,G06,psh-g06-3,dc-out,G06,busbar-g06,shelf3,
Reference Pod 2,1200,power,,G06,psh-g06-4,dc-out,G06,busbar-g06,shelf4,
Reference Pod 2,1201,power,,G06,psh-g06-5,dc-out,G06,busbar-g06,shelf5,
Reference Pod 2,1202,power,,G06,psh-g06-6,dc-out,G06,busbar-g06,shelf6,
Reference Pod 2,1203,power,,G06,psh-g06-7,dc-out,G06,busbar-g06,shelf7,
Reference Pod 2,1204,power,,G06,psh-g06-8,dc-out,G06,busbar-g06,shelf8,
Reference Pod 2,1232,power,,G07,(power feed),G07-1,G07,psh-g07-1,input,
Reference Pod 2,1233,power,,G07,(power feed),G07-2,G07,psh-g07-2,input,
Reference Pod 2,1234,power,,G07,(power feed),G07-3,G07,psh-g07-3,input,
Reference Pod 2,1235,power,,G07,(power feed),G07-4,G07,psh-g07-4,input,
Reference Pod 2,1236,power,,G07,(power feed),G07-5,G07,psh-g07-5,input,
Reference Pod 2,1237,power,,G07,(power feed),G07-6,G07,psh-g07-6,input,
Reference Pod 2,1238,power,,G07,(power feed),G07-7,G07,psh-g07-7,input,
Reference Pod 2,1239,power,,G07,(power feed),G07-8,G07,psh-g07-8,input,
Reference Pod 2,1480,power,,G07,busbar-g07,tray1,G07,ct-g07-01,dc-in,
Reference Pod 2,1490,power,,G07,busbar-g07,tray10,G07,ct-g07-11,dc-in,
Reference Pod 2,1498,power,,G07,busbar-g07,tray11,G07,nvs-g07-01,dc-in,
Reference Pod 2,1504,power,,G07,busbar-g07,tray12,G07,nvs-g07-07,dc-in,
Reference Pod 2,1483,power,,G07,busbar-g07,tray13,G07,ct-g07-04,dc-in,
Reference Pod 2,1491,power,,G07,busbar-g07,tray14,G07,ct-g07-12,dc-in,
Reference Pod 2,1499,power,,G07,busbar-g07,tray15,G07,nvs-g07-02,dc-in,
Reference Pod 2,1505,power,,G07,busbar-g07,tray16,G07,nvs-g07-08,dc-in,
Reference Pod 2,1484,power,,G07,busbar-g07,tray17,G07,ct-g07-05,dc-in,
Reference Pod 2,1492,power,,G07,busbar-g07,tray18,G07,ct-g07-13,dc-in,
Reference Pod 2,1500,power,,G07,busbar-g07,tray19,G07,nvs-g07-03,dc-in,
Reference Pod 2,1488,power,,G07,busbar-g07,tray2,G07,ct-g07-09,dc-in,
Reference Pod 2,1506,power,,G07,busbar-g07,tray20,G07,nvs-g07-09,dc-in,
Reference Pod 2,1485,power,,G07,busbar-g07,tray21,G07,ct-g07-06,dc-in,
Reference Pod 2,1493,power,,G07,busbar-g07,tray22,G07,ct-g07-14,dc-in,
Reference Pod 2,1501,power,,G07,busbar-g07,tray23,G07,nvs-g07-04,dc-in,
Reference Pod 2,1486,power,,G07,busbar-g07,tray25,G07,ct-g07-07,dc-in,
Reference Pod 2,1494,power,,G07,busbar-g07,tray26,G07,ct-g07-15,dc-in,
Reference Pod 2,1502,power,,G07,busbar-g07,tray27,G07,nvs-g07-05,dc-in,
Reference Pod 2,1487,power,,G07,busbar-g07,tray29,G07,ct-g07-08,dc-in,
Reference Pod 2,1496,power,,G07,busbar-g07,tray3,G07,ct-g07-17,dc-in,
Reference Pod 2,1495,power,,G07,busbar-g07,tray30,G07,ct-g07-16,dc-in,
Reference Pod 2,1503,power,,G07,busbar-g07,tray31,G07,nvs-g07-06,dc-in,
Reference Pod 2,1481,power,,G07,busbar-g07,tray5,G07,ct-g07-02,dc-in,
Reference Pod 2,1489,power,,G07,busbar-g07,tray6,G07,ct-g07-10,dc-in,
Reference Pod 2,1497,power,,G07,busbar-g07,tray7,G07,ct-g07-18,dc-in,
Reference Pod 2,1482,power,,G07,busbar-g07,tray9,G07,ct-g07-03,dc-in,
Reference Pod 2,1240,power,,G07,psh-g07-1,dc-out,G07,busbar-g07,shelf1,
Reference Pod 2,1241,power,,G07,psh-g07-2,dc-out,G07,busbar-g07,shelf2,
Reference Pod 2,1242,power,,G07,psh-g07-3,dc-out,G07,busbar-g07,shelf3,
Reference Pod 2,1243,power,,G07,psh-g07-4,dc-out,G07,busbar-g07,shelf4,
Reference Pod 2,1244,power,,G07,psh-g07-5,dc-out,G07,busbar-g07,shelf5,
Reference Pod 2,1245,power,,G07,psh-g07-6,dc-out,G07,busbar-g07,shelf6,
Reference Pod 2,1246,power,,G07,psh-g07-7,dc-out,G07,busbar-g07,shelf7,
Reference Pod 2,1247,power,,G07,psh-g07-8,dc-out,G07,busbar-g07,shelf8,
Reference Pod 2,1275,power,,G08,(power feed),G08-1,G08,psh-g08-1,input,
Reference Pod 2,1276,power,,G08,(power feed),G08-2,G08,psh-g08-2,input,
Reference Pod 2,1277,power,,G08,(power feed),G08-3,G08,psh-g08-3,input,
Reference Pod 2,1278,power,,G08,(power feed),G08-4,G08,psh-g08-4,input,
