cable_id,type,length_m,a_rack,a_device,a_termination,b_rack,b_device,b_termination,reach_check
314,mmf-om4,25.0,C02,dgx-c02-01,ib-rail6,N02,leaf-07,port5,ok
315,mmf-om4,25.0,C02,dgx-c02-01,ib-rail7,N02,leaf-08,port5,ok
796,mmf-om4,20.0,C02,dgx-c02-01,ib-storage0,S01,stor-fabric-01,port5,ok
797,mmf-om4,20.0,C02,dgx-c02-01,ib-storage1,S01,stor-fabric-02,port5,ok
868,mmf-om4,20.0,C02,dgx-c02-01,inband0,M01,inband-01,eth5,ok
869,mmf-om4,20.0,C02,dgx-c02-01,inband1,M01,inband-02,eth5,ok
937,cat6a,30.0,C02,dgx-c02-02,bmc,M01,oob-01,eth6,
316,mmf-om4,25.0,C02,dgx-c02-02,ib-rail0,N01,leaf-01,port6,ok
317,mmf-om4,25.0,C02,dgx-c02-02,ib-rail1,N01,leaf-02,port6,ok
318,mmf-om4,25.0,C02,dgx-c02-02,ib-rail2,N01,leaf-03,port6,ok
319,mmf-om4,25.0,C02,dgx-c02-02,ib-rail3,N01,leaf-04,port6,ok
320,mmf-om4,25.0,C02,dgx-c02-02,ib-rail4,N02,leaf-05,port6,ok
321,mmf-om4,25.0,C02,dgx-c02-02,ib-rail5,N02,leaf-06,port6,ok
322,mmf-om4,25.0,C02,dgx-c02-02,ib-rail6,N02,leaf-07,port6,ok
323,mmf-om4,25.0,C02,dgx-c02-02,ib-rail7,N02,leaf-08,port6,ok
798,mmf-om4,20.0,C02,dgx-c02-02,ib-storage0,S01,stor-fabric-01,port6,ok
799,mmf-om4,20.0,C02,dgx-c02-02,ib-storage1,S01,stor-fabric-02,port6,ok
870,mmf-om4,20.0,C02,dgx-c02-02,inband0,M01,inband-01,eth6,ok
871,mmf-om4,20.0,C02,dgx-c02-02,inband1,M01,inband-02,eth6,ok
938,cat6a,30.0,C02,dgx-c02-03,bmc,M01,oob-01,eth7,
324,mmf-om4,25.0,C02,dgx-c02-03,ib-rail0,N01,leaf-01,port7,ok
325,mmf-om4,25.0,C02,dgx-c02-03,ib-rail1,N01,leaf-02,port7,ok
326,mmf-om4,25.0,C02,dgx-c02-03,ib-rail2,N01,leaf-03,port7,ok
327,mmf-om4,25.0,C02,dgx-c02-03,ib-rail3,N01,leaf-04,port7,ok
328,mmf-om4,25.0,C02,dgx-c02-03,ib-rail4,N02,leaf-05,port7,ok
329,mmf-om4,25.0,C02,dgx-c02-03,ib-rail5,N02,leaf-06,port7,ok
330,mmf-om4,25.0,C02,dgx-c02-03,ib-rail6,N02,leaf-07,port7,ok
331,mmf-om4,25.0,C02,dgx-c02-03,ib-rail7,N02,leaf-08,port7,ok
800,mmf-om4,20.0,C02,dgx-c02-03,ib-storage0,S01,stor-fabric-01,port7,ok
801,mmf-om4,20.0,C02,dgx-c02-03,ib-storage1,S01,stor-fabric-02,port7,ok
872,mmf-om4,20.0,C02,dgx-c02-03,inband0,M01,inband-01,eth7,ok
873,mmf-om4,20.0,C02,dgx-c02-03,inband1,M01,inband-02,eth7,ok
939,cat6a,30.0,C02,dgx-c02-04,bmc,M01,oob-01,eth8,
332,mmf-om4,25.0,C02,dgx-c02-04,ib-rail0,N01,leaf-01,port8,ok
333,mmf-om4,25.0,C02,dgx-c02-04,ib-rail1,N01,leaf-02,port8,ok
334,mmf-om4,25.0,C02,dgx-c02-04,ib-rail2,N01,leaf-03,port8,ok
335,mmf-om4,25.0,C02,dgx-c02-04,ib-rail3,N01,leaf-04,port8,ok
336,mmf-om4,25.0,C02,dgx-c02-04,ib-rail4,N02,leaf-05,port8,ok
337,mmf-om4,25.0,C02,dgx-c02-04,ib-rail5,N02,leaf-06,port8,ok
338,mmf-om4,25.0,C02,dgx-c02-04,ib-rail6,N02,leaf-07,port8,ok
339,mmf-om4,25.0,C02,dgx-c02-04,ib-rail7,N02,leaf-08,port8,ok
802,mmf-om4,20.0,C02,dgx-c02-04,ib-storage0,S01,stor-fabric-01,port8,ok
803,mmf-om4,20.0,C02,dgx-c02-04,ib-storage1,S01,stor-fabric-02,port8,ok
874,mmf-om4,20.0,C02,dgx-c02-04,inband0,M01,inband-01,eth8,ok
875,mmf-om4,20.0,C02,dgx-c02-04,inband1,M01,inband-02,eth8,ok
34,power,,C02,pdu-c02-a,outlet1,C02,dgx-c02-01,psu1,
35,power,,C02,pdu-c02-a,outlet2,C02,dgx-c02-01,psu2,
40,power,,C02,pdu-c02-a,outlet3,C02,dgx-c02-02,psu1,
41,power,,C02,pdu-c02-a,outlet4,C02,dgx-c02-02,psu2,
46,power,,C02,pdu-c02-a,outlet5,C02,dgx-c02-03,psu1,
47,power,,C02,pdu-c02-a,outlet6,C02,dgx-c02-03,psu2,
52,power,,C02,pdu-c02-a,outlet7,C02,dgx-c02-04,psu1,
53,power,,C02,pdu-c02-a,outlet8,C02,dgx-c02-04,psu2,
36,power,,C02,pdu-c02-b,outlet1,C02,dgx-c02-01,psu3,
37,power,,C02,pdu-c02-b,outlet2,C02,dgx-c02-01,psu4,
42,power,,C02,pdu-c02-b,outlet3,C02,dgx-c02-02,psu3,
43,power,,C02,pdu-c02-b,outlet4,C02,dgx-c02-02,psu4,
48,power,,C02,pdu-c02-b,outlet5,C02,dgx-c02-03,psu3,
49,power,,C02,pdu-c02-b,outlet6,C02,dgx-c02-03,psu4,
54,power,,C02,pdu-c02-b,outlet7,C02,dgx-c02-04,psu3,
55,power,,C02,pdu-c02-b,outlet8,C02,dgx-c02-04,psu4,
38,power,,C02,pdu-c02-c,outlet1,C02,dgx-c02-01,psu5,
39,power,,C02,pdu-c02-c,outlet2,C02,dgx-c02-01,psu6,
44,power,,C02,pdu-c02-c,outlet3,C02,dgx-c02-02,psu5,
45,power,,C02,pdu-c02-c,outlet4,C02,dgx-c02-02,psu6,
50,power,,C02,pdu-c02-c,outlet5,C02,dgx-c02-03,psu5,
51,power,,C02,pdu-c02-c,outlet6,C02,dgx-c02-03,psu6,
56,power,,C02,pdu-c02-c,outlet7,C02,dgx-c02-04,psu5,
57,power,,C02,pdu-c02-c,outlet8,C02,dgx-c02-04,psu6,
58,power,,C03,(power feed),C03-A,C03,pdu-c03-a,input,
59,power,,C03,(power feed),C03-B,C03,pdu-c03-b,input,
60,power,,C03,(power feed),C03-C,C03,pdu-c03-c,input,
940,cat6a,30.0,C03,dgx-c03-01,bmc,M01,oob-01,eth9,
340,mmf-om4,25.0,C03,dgx-c03-01,ib-rail0,N01,leaf-01,port9,ok
341,mmf-om4,25.0,C03,dgx-c03-01,ib-rail1,N01,leaf-02,port9,ok
342,mmf-om4,25.0,C03,dgx-c03-01,ib-rail2,N01,leaf-03,port9,ok
343,mmf-om4,25.0,C03,dgx-c03-01,ib-rail3,N01,leaf-04,port9,ok
344,mmf-om4,25.0,C03,dgx-c03-01,ib-rail4,N02,leaf-05,port9,ok
345,mmf-om4,25.0,C03,dgx-c03-01,ib-rail5,N02,leaf-06,port9,ok
346,mmf-om4,25.0,C03,dgx-c03-01,ib-rail6,N02,leaf-07,port9,ok
347,mmf-om4,25.0,C03,dgx-c03-01,ib-rail7,N02,leaf-08,port9,ok
804,mmf-om4,20.0,C03,dgx-c03-01,ib-storage0,S01,stor-fabric-01,port9,ok
805,mmf-om4,20.0,C03,dgx-c03-01,ib-storage1,S01,stor-fabric-02,port9,ok
876,mmf-om4,20.0,C03,dgx-c03-01,inband0,M01,inband-01,eth9,ok
877,mmf-om4,20.0,C03,dgx-c03-01,inband1,M01,inband-02,eth9,ok
941,cat6a,30.0,C03,dgx-c03-02,bmc,M01,oob-01,eth10,
348,mmf-om4,25.0,C03,dgx-c03-02,ib-rail0,N01,leaf-01,port10,ok
349,mmf-om4,25.0,C03,dgx-c03-02,ib-rail1,N01,leaf-02,port10,ok
350,mmf-om4,25.0,C03,dgx-c03-02,ib-rail2,N01,leaf-03,port10,ok
351,mmf-om4,25.0,C03,dgx-c03-02,ib-rail3,N01,leaf-04,port10,ok
352,mmf-om4,25.0,C03,dgx-c03-02,ib-rail4,N02,leaf-05,port10,ok
353,mmf-om4,25.0,C03,dgx-c03-02,ib-rail5,N02,leaf-06,port10,ok
354,mmf-om4,25.0,C03,dgx-c03-02,ib-rail6,N02,leaf-07,port10,ok
355,mmf-om4,25.0,C03,dgx-c03-02,ib-rail7,N02,leaf-08,port10,ok
806,mmf-om4,20.0,C03,dgx-c03-02,ib-storage0,S01,stor-fabric-01,port10,ok
807,mmf-om4,20.0,C03,dgx-c03-02,ib-storage1,S01,stor-fabric-02,port10,ok
878,mmf-om4,20.0,C03,dgx-c03-02,inband0,M01,inband-01,eth10,ok
879,mmf-om4,20.0,C03,dgx-c03-02,inband1,M01,inband-02,eth10,ok
942,cat6a,30.0,C03,dgx-c03-03,bmc,M01,oob-01,eth11,
356,mmf-om4,25.0,C03,dgx-c03-03,ib-rail0,N01,leaf-01,port11,ok
357,mmf-om4,25.0,C03,dgx-c03-03,ib-rail1,N01,leaf-02,port11,ok
358,mmf-om4,25.0,C03,dgx-c03-03,ib-rail2,N01,leaf-03,port11,ok
359,mmf-om4,25.0,C03,dgx-c03-03,ib-rail3,N01,leaf-04,port11,ok
360,mmf-om4,25.0,C03,dgx-c03-03,ib-rail4,N02,leaf-05,port11,ok
361,mmf-om4,25.0,C03,dgx-c03-03,ib-rail5,N02,leaf-06,port11,ok
362,mmf-om4,25.0,C03,dgx-c03-03,ib-rail6,N02,leaf-07,port11,ok
363,mmf-om4,25.0,C03,dgx-c03-03,ib-rail7,N02,leaf-08,port11,ok
808,mmf-om4,20.0,C03,dgx-c03-03,ib-storage0,S01,stor-fabric-01,port11,ok
809,mmf-om4,20.0,C03,dgx-c03-03,ib-storage1,S01,stor-fabric-02,port11,ok
880,mmf-om4,20.0,C03,dgx-c03-03,inband0,M01,inband-01,eth11,ok
881,mmf-om4,20.0,C03,dgx-c03-03,inband1,M01,inband-02,eth11,ok
943,cat6a,30.0,C03,dgx-c03-04,bmc,M01,oob-01,eth12,
364,mmf-om4,25.0,C03,dgx-c03-04,ib-rail0,N01,leaf-01,port12,ok
365,mmf-om4,25.0,C03,dgx-c03-04,ib-rail1,N01,leaf-02,port12,ok
366,mmf-om4,25.0,C03,dgx-c03-04,ib-rail2,N01,leaf-03,port12,ok
367,mmf-om4,25.0,C03,dgx-c03-04,ib-rail3,N01,leaf-04,port12,ok
368,mmf-om4,25.0,C03,dgx-c03-04,ib-rail4,N02,leaf-05,port12,ok
369,mmf-om4,25.0,C03,dgx-c03-04,ib-rail5,N02,leaf-06,port12,ok
370,mmf-om4,25.0,C03,dgx-c03-04,ib-rail6,N02,leaf-07,port12,ok
371,mmf-om4,25.0,C03,dgx-c03-04,ib-rail7,N02,leaf-08,port12,ok
810,mmf-om4,20.0,C03,dgx-c03-04,ib-storage0,S01,stor-fabric-01,port12,ok
811,mmf-om4,20.0,C03,dgx-c03-04,ib-storage1,S01,stor-fabric-02,port12,ok
882,mmf-om4,20.0,C03,dgx-c03-04,inband0,M01,inband-01,eth12,ok
883,mmf-om4,20.0,C03,dgx-c03-04,inband1,M01,inband-02,eth12,ok
61,power,,C03,pdu-c03-a,outlet1,C03,dgx-c03-01,psu1,
62,power,,C03,pdu-c03-a,outlet2,C03,dgx-c03-01,psu2,
67,power,,C03,pdu-c03-a,outlet3,C03,dgx-c03-02,psu1,
68,power,,C03,pdu-c03-a,outlet4,C03,dgx-c03-02,psu2,
73,power,,C03,pdu-c03-a,outlet5,C03,dgx-c03-03,psu1,
74,power,,C03,pdu-c03-a,outlet6,C03,dgx-c03-03,psu2,
79,power,,C03,pdu-c03-a,outlet7,C03,dgx-c03-04,psu1,
80,power,,C03,pdu-c03-a,outlet8,C03,dgx-c03-04,psu2,
63,power,,C03,pdu-c03-b,outlet1,C03,dgx-c03-01,psu3,
64,power,,C03,pdu-c03-b,outlet2,C03,dgx-c03-01,psu4,
69,power,,C03,pdu-c03-b,outlet3,C03,dgx-c03-02,psu3,
70,power,,C03,pdu-c03-b,outlet4,C03,dgx-c03-02,psu4,
75,power,,C03,pdu-c03-b,outlet5,C03,dgx-c03-03,psu3,
76,power,,C03,pdu-c03-b,outlet6,C03,dgx-c03-03,psu4,
81,power,,C03,pdu-c03-b,outlet7,C03,dgx-c03-04,psu3,
82,power,,C03,pdu-c03-b,outlet8,C03,dgx-c03-04,psu4,
65,power,,C03,pdu-c03-c,outlet1,C03,dgx-c03-01,psu5,
66,power,,C03,pdu-c03-c,outlet2,C03,dgx-c03-01,psu6,
71,power,,C03,pdu-c03-c,outlet3,C03,dgx-c03-02,psu5,
72,power,,C03,pdu-c03-c,outlet4,C03,dgx-c03-02,psu6,
77,power,,C03,pdu-c03-c,outlet5,C03,dgx-c03-03,psu5,
78,power,,C03,pdu-c03-c,outlet6,C03,dgx-c03-03,psu6,
83,power,,C03,pdu-c03-c,outlet7,C03,dgx-c03-04,psu5,
84,power,,C03,pdu-c03-c,outlet8,C03,dgx-c03-04,psu6,
85,power,,C04,(power feed),C04-A,C04,pdu-c04-a,input,
86,power,,C04,(power feed),C04-B,C04,pdu-c04-b,input,
87,power,,C04,(power feed),C04-C,C04,pdu-c04-c,input,
944,cat6a,30.0,C04,dgx-c04-01,bmc,M01,oob-01,eth13,
372,mmf-om4,25.0,C04,dgx-c04-01,ib-rail0,N01,leaf-01,port13,ok
373,mmf-om4,25.0,C04,dgx-c04-01,ib-rail1,N01,leaf-02,port13,ok
374,mmf-om4,25.0,C04,dgx-c04-01,ib-rail2,N01,leaf-03,port13,ok
375,mmf-om4,25.0,C04,dgx-c04-01,ib-rail3,N01,leaf-04,port13,ok
376,mmf-om4,25.0,C04,dgx-c04-01,ib-rail4,N02,leaf-05,port13,ok
377,mmf-om4,25.0,C04,dgx-c04-01,ib-rail5,N02,leaf-06,port13,ok
378,mmf-om4,25.0,C04,dgx-c04-01,ib-rail6,N02,leaf-07,port13,ok
379,mmf-om4,25.0,C04,dgx-c04-01,ib-rail7,N02,leaf-08,port13,ok
812,mmf-om4,20.0,C04,dgx-c04-01,ib-storage0,S01,stor-fabric-01,port13,ok
813,mmf-om4,20.0,C04,dgx-c04-01,ib-storage1,S01,stor-fabric-02,port13,ok
884,mmf-om4,20.0,C04,dgx-c04-01,inband0,M01,inband-01,eth13,ok
885,mmf-om4,20.0,C04,dgx-c04-01,inband1,M01,inband-02,eth13,ok
945,cat6a,30.0,C04,dgx-c04-02,bmc,M01,oob-01,eth14,
380,mmf-om4,25.0,C04,dgx-c04-02,ib-rail0,N01,leaf-01,port14,ok
381,mmf-om4,25.0,C04,dgx-c04-02,ib-rail1,N01,leaf-02,port14,ok
382,mmf-om4,25.0,C04,dgx-c04-02,ib-rail2,N01,leaf-03,port14,ok
383,mmf-om4,25.0,C04,dgx-c04-02,ib-rail3,N01,leaf-04,port14,ok
384,mmf-om4,25.0,C04,dgx-c04-02,ib-rail4,N02,leaf-05,port14,ok
385,mmf-om4,25.0,C04,dgx-c04-02,ib-rail5,N02,leaf-06,port14,ok
386,mmf-om4,25.0,C04,dgx-c04-02,ib-rail6,N02,leaf-07,port14,ok
387,mmf-om4,25.0,C04,dgx-c04-02,ib-rail7,N02,leaf-08,port14,ok
814,mmf-om4,20.0,C04,dgx-c04-02,ib-storage0,S01,stor-fabric-01,port14,ok
815,mmf-om4,20.0,C04,dgx-c04-02,ib-storage1,S01,stor-fabric-02,port14,ok
886,mmf-om4,20.0,C04,dgx-c04-02,inband0,M01,inband-01,eth14,ok
887,mmf-om4,20.0,C04,dgx-c04-02,inband1,M01,inband-02,eth14,ok
946,cat6a,30.0,C04,dgx-c04-03,bmc,M01,oob-01,eth15,
388,mmf-om4,25.0,C04,dgx-c04-03,ib-rail0,N01,leaf-01,port15,ok
389,mmf-om4,25.0,C04,dgx-c04-03,ib-rail1,N01,leaf-02,port15,ok
390,mmf-om4,25.0,C04,dgx-c04-03,ib-rail2,N01,leaf-03,port15,ok
391,mmf-om4,25.0,C04,dgx-c04-03,ib-rail3,N01,leaf-04,port15,ok
392,mmf-om4,25.0,C04,dgx-c04-03,ib-rail4,N02,leaf-05,port15,ok
393,mmf-om4,25.0,C04,dgx-c04-03,ib-rail5,N02,leaf-06,port15,ok
394,mmf-om4,25.0,C04,dgx-c04-03,ib-rail6,N02,leaf-07,port15,ok
395,mmf-om4,25.0,C04,dgx-c04-03,ib-rail7,N02,leaf-08,port15,ok
816,mmf-om4,20.0,C04,dgx-c04-03,ib-storage0,S01,stor-fabric-01,port15,ok
817,mmf-om4,20.0,C04,dgx-c04-03,ib-storage1,S01,stor-fabric-02,port15,ok
888,mmf-om4,20.0,C04,dgx-c04-03,inband0,M01,inband-01,eth15,ok
889,mmf-om4,20.0,C04,dgx-c04-03,inband1,M01,inband-02,eth15,ok
947,cat6a,30.0,C04,dgx-c04-04,bmc,M01,oob-01,eth16,
396,mmf-om4,25.0,C04,dgx-c04-04,ib-rail0,N01,leaf-01,port16,ok
397,mmf-om4,25.0,C04,dgx-c04-04,ib-rail1,N01,leaf-02,port16,ok
398,mmf-om4,25.0,C04,dgx-c04-04,ib-rail2,N01,leaf-03,port16,ok
399,mmf-om4,25.0,C04,dgx-c04-04,ib-rail3,N01,leaf-04,port16,ok
400,mmf-om4,25.0,C04,dgx-c04-04,ib-rail4,N02,leaf-05,port16,ok
401,mmf-om4,25.0,C04,dgx-c04-04,ib-rail5,N02,leaf-06,port16,ok
402,mmf-om4,25.0,C04,dgx-c04-04,ib-rail6,N02,leaf-07,port16,ok
403,mmf-om4,25.0,C04,dgx-c04-04,ib-rail7,N02,leaf-08,port16,ok
818,mmf-om4,20.0,C04,dgx-c04-04,ib-storage0,S01,stor-fabric-01,port16,ok
819,mmf-om4,20.0,C04,dgx-c04-04,ib-storage1,S01,stor-fabric-02,port16,ok
890,mmf-om4,20.0,C04,dgx-c04-04,inband0,M01,inband-01,eth16,ok
891,mmf-om4,20.0,C04,dgx-c04-04,inband1,M01,inband-02,eth16,ok
88,power,,C04,pdu-c04-a,outlet1,C04,dgx-c04-01,psu1,
89,power,,C04,pdu-c04-a,outlet2,C04,dgx-c04-01,psu2,
94,power,,C04,pdu-c04-a,outlet3,C04,dgx-c04-02,psu1,
95,power,,C04,pdu-c04-a,outlet4,C04,dgx-c04-02,psu2,
100,power,,C04,pdu-c04-a,outlet5,C04,dgx-c04-03,psu1,
101,power,,C04,pdu-c04-a,outlet6,C04,dgx-c04-03,psu2,
106,power,,C04,pdu-c04-a,outlet7,C04,dgx-c04-04,psu1,
107,power,,C04,pdu-c04-a,outlet8,C04,dgx-c04-04,psu2,
90,power,,C04,pdu-c04-b,outlet1,C04,dgx-c04-01,psu3,
91,power,,C04,pdu-c04-b,outlet2,C04,dgx-c04-01,psu4,
96,power,,C04,pdu-c04-b,outlet3,C04,dgx-c04-02,psu3,
97,power,,C04,pdu-c04-b,outlet4,C04,dgx-c04-02,psu4,
102,power,,C04,pdu-c04-b,outlet5,C04,dgx-c04-03,psu3,
103,power,,C04,pdu-c04-b,outlet6,C04,dgx-c04-03,psu4,
108,power,,C04,pdu-c04-b,outlet7,C04,dgx-c04-04,psu3,
109,power,,C04,pdu-c04-b,outlet8,C04,dgx-c04-04,psu4,
92,power,,C04,pdu-c04-c,outlet1,C04,dgx-c04-01,psu5,
93,power,,C04,pdu-c04-c,outlet2,C04,dgx-c04-01,psu6,
98,power,,C04,pdu-c04-c,outlet3,C04,dgx-c04-02,psu5,
99,power,,C04,pdu-c04-c,outlet4,C04,dgx-c04-02,psu6,
104,power,,C04,pdu-c04-c,outlet5,C04,dgx-c04-03,psu5,
105,power,,C04,pdu-c04-c,outlet6,C04,dgx-c04-03,psu6,
110,power,,C04,pdu-c04-c,outlet7,C04,dgx-c04-04,psu5,
111,power,,C04,pdu-c04-c,outlet8,C04,dgx-c04-04,psu6,
112,power,,C05,(power feed),C05-A,C05,pdu-c05-a,input,
113,power,,C05,(power feed),C05-B,C05,pdu-c05-b,input,
114,power,,C05,(power feed),C05-C,C05,pdu-c05-c,input,
